Username,Repo_name,Stars,Url,Issues,Pull_Requests,Forks,Topics
Taritsyn,WebMarkupMin,347,https://github.com/Taritsyn/WebMarkupMin,6,0,38,ASP.NET
chsakell,aspnet-core-identity,329,https://github.com/chsakell/aspnet-core-identity,4,19,99,ASP.NET
EEParker,aspnetcore-vueclimiddleware,316,https://github.com/EEParker/aspnetcore-vueclimiddleware,11,3,64,ASP.NET
ALMMa,datatables.aspnet,284,https://github.com/ALMMa/datatables.aspnet,23,0,134,ASP.NET
atom,atom,56800,https://github.com/atom/atom,774,10,16800,Atom
themerdev,themer,4600,https://github.com/themerdev/themer,19,4,108,Atom
nteract,hydrogen,3800,https://github.com/nteract/hydrogen,154,8,362,Atom
shd101wyy,markdown-preview-enhanced,3600,https://github.com/shd101wyy/markdown-preview-enhanced,821,2,470,Atom
miniflux,v2,3300,https://github.com/miniflux/v2,195,7,343,Atom
atom,teletype,2400,https://github.com/atom/teletype,146,15,351,Atom
mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom,1,4,118,Atom
mmcdole,gofeed,1800,https://github.com/mmcdole/gofeed,32,10,166,Atom
joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus,74,18,141,Atom
Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify,332,42,464,Atom
simplepie,simplepie,1400,https://github.com/simplepie/simplepie,35,4,373,Atom
t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus,119,6,113,Atom
ocaml,merlin,1400,https://github.com/ocaml/merlin,192,29,199,Atom
kurtmckee,feedparser,1400,https://github.com/kurtmckee/feedparser,68,8,282,Atom
MagicStack,MagicPython,1300,https://github.com/MagicStack/MagicPython,52,3,94,Atom
atom,apm,1200,https://github.com/atom/apm,179,10,296,Atom
file-icons,atom,1200,https://github.com/file-icons/atom,17,0,245,Atom
kettanaito,atomic-layout,1100,https://github.com/kettanaito/atomic-layout,19,12,28,Atom
atom,github,994,https://github.com/atom/github,426,61,410,Atom
nmdias,FeedKit,962,https://github.com/nmdias/FeedKit,14,5,118,Atom
nathanbuchar,atom-one-dark-terminal,947,https://github.com/nathanbuchar/atom-one-dark-terminal,1,0,156,Atom
danhper,atomic-chrome,926,https://github.com/danhper/atomic-chrome,18,0,38,Atom
jesseweed,seti-ui,888,https://github.com/jesseweed/seti-ui,44,9,263,Atom
fwcd,kotlin-language-server,866,https://github.com/fwcd/kotlin-language-server,109,7,115,Atom
prettier,prettier-atom,770,https://github.com/prettier/prettier-atom,19,12,98,Atom
raphamorim,lucario,740,https://github.com/raphamorim/lucario,11,3,73,Atom
atom-community,atom-script,730,https://github.com/atom-community/atom-script,649,6,273,Atom
jpmonette,feed,721,https://github.com/jpmonette/feed,29,13,137,Atom
jasonmunro,cypht,696,https://github.com/jasonmunro/cypht,96,6,103,Atom
jekyll,jekyll-feed,693,https://github.com/jekyll/jekyll-feed,14,18,189,Atom
sindresorhus,awesome,18900,https://github.com/sindresorhus/awesome,21,18,22800,Awesome Lists
vinta,awesome-python,11600,https://github.com/vinta/awesome-python,12,220,20700,Awesome Lists
awesome-selfhosted,awesome-selfhosted,77400,https://github.com/awesome-selfhosted/awesome-selfhosted,102,48,5400,Awesome Lists
avelino,awesome-go,75300,https://github.com/avelino/awesome-go,7,10,9500,Awesome Lists
trimstray,the-book-of-secret-knowledge,59800,https://github.com/trimstray/the-book-of-secret-knowledge,30,31,5600,Awesome Lists
papers-we-love,papers-we-love,53100,https://github.com/papers-we-love/papers-we-love,26,0,4400,Awesome Lists
521xueweihan,HelloGitHub,52300,https://github.com/521xueweihan/HelloGitHub,16,0,7500,Awesome Lists
Hack-with-Github,Awesome-Hacking,49300,https://github.com/Hack-with-Github/Awesome-Hacking,NA,5,7700,Awesome Lists
jaywcjlove,awesome-mac,47700,https://github.com/jaywcjlove/awesome-mac,79,43,5200,Awesome Lists
DopplerHQ,awesome-interview-questions,45100,https://github.com/DopplerHQ/awesome-interview-questions,1,6,6700,Awesome Lists
sindresorhus,awesome-nodejs,43800,https://github.com/sindresorhus/awesome-nodejs,0,4,5300,Awesome Lists
wasabeef,awesome-android-ui,42100,https://github.com/wasabeef/awesome-android-ui,2,10,10100,Awesome Lists
Solido,awesome-flutter,39400,https://github.com/Solido/awesome-flutter,NA,37,5800,Awesome Lists
prakhar1989,awesome-courses,39200,https://github.com/prakhar1989/awesome-courses,30,24,7500,Awesome Lists
vsouza,awesome-ios,3900,https://github.com/vsouza/awesome-ios,2,17,6500,Awesome Lists
MunGell,awesome-for-beginners,38600,https://github.com/MunGell/awesome-for-beginners,4,55,5500,Awesome Lists
binhnguyennus,awesome-scalability,37400,https://github.com/binhnguyennus/awesome-scalability,NA,10,4400,Awesome Lists
fffaraz,awesome-cpp,35800,https://github.com/fffaraz/awesome-cpp,340,52,600,Awesome Lists
tiimgreen,github-cheat-sheet,33800,https://github.com/tiimgreen/github-cheat-sheet,7,10,500,Awesome Lists
dypsilon,frontend-dev-bookmarks,33200,https://github.com/dypsilon/frontend-dev-bookmarks,17,98,4900,Awesome Lists
akullpp,awesome-java,31400,https://github.com/akullpp/awesome-java,2,6,6700,Awesome Lists
serhii-londar,open-source-mac-os-apps,29400,https://github.com/serhii-londar/open-source-mac-os-apps,31,18,1900,Awesome Lists
dkhamsing,open-source-ios-apps,29400,https://github.com/dkhamsing/open-source-ios-apps,1,0,4600,Awesome Lists
brillout,awesome-react-components,2900,https://github.com/brillout/awesome-react-components,1,0,2500,Awesome Lists
